ISO3,Country,BCP sequestration in EEZ (GtC/year),Area.EEZ (km2),Carbon/area (tC/km2),BCP sequestration in MPA (GtC),Area.MPA (km2),Present value of BCP sequestration to 2050 (US$),Present value of BCP sequestration to 2030 (US$),GDP (US$),Annual value of BCP sequestration in EEZ (US$),gdp.ratio,gdp.percentage,Region,Income.group,Lending,Other,Continent,Sovereign.ISO,Territory,Name,Sovereign2,Sovereign3,Territory.ISO,SIDS
BEN,Benin,0.001,"35,493",18.63783128,,,"4,520,297,985","1,412,830,085",17401746309,"218,299,140 USD",0.012544669,1.25,Sub-Saharan Africa,Lower middle,IDA,HIPC,Africa,BEN,Benin,Beninese Exclusive Economic Zone,,,BEN,
BIH,Bosnia and Herzegovina,0.000000011,13,0.85,,,"75,431","23,576",24527507288,"3,643 USD",0.000000149,0,Europe & Central Asia,Upper middle,IBRD,None,Europe,BIH,Bosnia and Herzegovina,Bosnian and Herzegovinian Exclusive Economic Zone,,,BIH,
BRA,Brazil,0.012626309,"3,677,664",3.43,0.003203907,987116.74,"86,279,060,951","26,966,729,506",1.92E+12,"4,166,682,126 USD",0.002170034,0.22,Latin America & Caribbean,Upper middle,IBRD,None,Americas,,,,,,,
BRN,Brunei,0.000284649,"43,144",6.59764827,5.66E-08,6.76,"1,945,084,827","607,940,975",16681531646,"93,934,149 USD",0.005631027,0.56,East Asia & Pacific,High,None,None,Asia,BRN,Brunei,Bruneian Exclusive Economic Zone,,,BRN,
CMR,Cameroon,0,"15,143",3.19,0.00000142,3379.4,"329,940,998","103,123,858",44341646509,"15,933,869 USD",0.000359343,0.04,Sub-Saharan Africa,Lower middle,Blend,HIPC,Africa,,,,,,,
CAN,Canada,0.016890002,"5,740,544",2.94,0.003227396,740949.63,"115,000,000,000","36,072,941,780",2.14E+12,"5,573,700,797 USD",0.002604728,0.26,North America,High,None,None,Americas,,,,,,,
CPV,Cape Verde,0.012,"801,936",14.7444496,0.000000234,5.38,"80,797,375,722","25,253,415,509",2314816792,"3,901,954,629 USD",1.68564296,169,Sub-Saharan Africa,Lower middle,Blend,None,Africa,CPV,Cape Verde,Cape Verdean Exclusive Economic Zone,,,CPV,1
CHA,Chagos Archip.,0.007522878,"650,804",11.55936079,0.007371222,640000,"51,405,905,375","16,067,040,253",12898307089,"2,482,549,818 USD",0.192470981,19,Sub-Saharan Africa,Upper middle,IBRD,None,Asia,,,,,,,
CHL,Chile,0.063103556,"3,668,775",17.20017058,0.006321402,1514331.41,"431,000,000,000","135,000,000,000",3.01E+11,"20,824,173,420 USD",0.069177555,6.92,Latin America & Caribbean,High,IBRD,None,Americas,,,,,,,
CHN,China,0.005103023,"1,302,395",3.92,0.0000334,7186.31,"34,870,364,570","10,898,816,918",1.80E+13,"1,683,997,521 USD",0.0000937,0.01,East Asia & Pacific,Upper middle,IBRD,None,Asia,,,,,,,
COL,Colombia,0.008714865,"727,967",11.97151116,0.002191653,204280.79,"59,551,080,674","18,612,834,524",3.44E+11,"2,875,905,471 USD",0.008361673,0.84,Latin America & Caribbean,Upper middle,IBRD,None,Americas,,,,,,,
COM,Comores,0.001,"164,476",6.797888677,0.00000313,616,"7,640,214,714","2,387,967,617",1242519407,"368,969,548 USD",0.296952744,30,Sub-Saharan Africa,Lower middle,IDA,HIPC,Africa,COM,Comores,Comoran Exclusive Economic Zone,,,COM,1
COK,Cook Islands,0.004756571,"1,969,961",2.41,0.005448805,2306167.5,"32,502,962,354","10,158,879,620",252000000,"1,569,668,362 USD",6.228842706,623,,Low,None,None,Oceania,,,,,,,1
