ISO,Continent,Groups,EEZ Area (km²),Saltmarshes Area (km²),Seagrasses Area (km²),Mangroves Area (km²),Total BCEs Area (km²),Saltmarshes Sequestration (tC),Saltmarshes SE,Seagrasses Sequestration (tC),Seagrasses SE,Mangroves Sequestration (tC),Mangroves SE,Total BCEs Sequestration (tC),Total BCEs SE (tC),BCP Sequestration (tC),Total Blue Carbon Sequestration (tC),Total Blue Carbon Sequestration SE
FRA,Europe,Developed economies,897522.0351,800.792595264,1094.5051404912,,1895.2977357552002,134533.12,0.0002209763935996,239436.984375,1515.3153143223924,,,373970.15625,1515.3153696839877,44719481.0,45093452.0,1515.3153143223924
GUF,Americas,Developing economies,214504.1101,,,635.7043780956,635.7043780956,,,,,117774.6,1033.0941946922533,117774.6015625,1033.0941946922533,,117774.6015625,1033.0941946922533
PYF,Oceania,SIDS,4774877.62,,785.2108340843,1.2587179809,786.4695520652,,,171774.90625,1087.105037799752,233.19804,2.045564317411905,172008.09375,1087.1027227420277,,172008.09375,1087.1027227420277
GAB,Africa,Developing economies,463413.3578,,,1743.9924236951,1743.9924236951,,,,,323103.03,2834.1922056038397,323103.03125,2834.1922056038397,4000000.0,4323103.0,2834.1922056038397
EC-W,Americas,,849472.6397000002,,,50.2139757278,50.2139757278,,,,,9302.957,81.60359316721838,9302.95703125,81.60359316721838,,9302.95703125,81.60359316721838
GMB,Africa,LDCs,33723.36947,,,610.5583841905,610.5583841905,,,,,113115.91,992.2290023299124,113115.90625,992.2290023299124,0.0,113115.90625,992.2290023299124
GEO,Asia,Developing economies,92515.43535,,,,,,,,,,,,,,,
DEU,Europe,Developed economies,414273.458,202.8151075803,317.2246646485,,520.0397722288,34072.934,2.7622049199961617e-05,69396.953125,439.1897412995016,,,103469.890625,439.1897412995016,120.0,103589.890625,439.1897412995016
GHA,Africa,Developing economies,466117.5817,,2713.6813560531,178.0888239632,2891.7701800163,,,593652.5,3757.024973834789,32993.86,289.4152162227291,626646.3125,3767.562304031017,3000000.0,3626646.25,3767.562125899333
GIB,Europe,Developed economies,394.8886291,,,,,,,,,,,,,,,
FR-GLO,Africa,,43537.67295,,,,,,,,,,,,,,,
LUX,Europe,Developed economies,2595.470758,,,,,,,,,,,,,,,
GRC,Europe,Developed economies,615356.1362,,626.4317346594,,626.4317346594,,,137039.953125,867.2793413620767,,,137039.953125,867.2793413620767,10113005.0,10250045.0,867.2793413620767
GRL,Americas,Developed economies,4437543.214,,,,,,,,,,,,,,,
GRD,Caribbean,SIDS,25929.44268,,10.2293264417,1.9255285289,12.154854970599999,,,2237.7958984375,14.162249707791458,356.73557,3.1292095867218417,2594.53125,14.497551975097846,138794.0,141388.53125,14.497551268736366
GLP,Caribbean,SIDS,92355.18888,,758.3848122393,34.1929994847,792.577811724,,,165906.375,1049.96508381722,6334.811,55.56763549212535,172241.171875,1051.320360491615,,172241.171875,1051.320360491615
GUM,Oceania,SIDS,208784.2053,0.0799664038,473.2691110017,0.5224856718,473.8715630773,13.434355,6.743664355459379e-09,103533.65625,655.229420462781,96.798996,0.8491004938064923,103643.8984375,655.2282041585024,,103643.8984375,655.2282041585024
GTM,Americas,Developing economies,218931.7525,,0.1797344864,248.9808509726,249.160585459,,,39.3192138671875,0.2488379613655256,46127.76,404.6230842273022,46167.0859375,404.6226436520178,2857422.0,2903589.25,404.6226436520178
GGY,Europe,Developed economies,3768.532398,,,,,,,,,,,,,,,
GIN,Africa,LDCs,346871.3948,,12808.1078549931,2184.5761293394,14992.6839843325,,,2801937.25,17732.50855624338,404728.38,3550.1923105158457,3206665.5,18077.245759492725,1000000.0,4206665.5,18077.245759492725
GNB,Africa,SIDS,140611.56,,15319.1062725608,2675.5202435335,17994.6265160943,,,3351250.0,21208.92457211084,495683.78,4348.034137185294,3846934.0,21641.27051725517,1000000.0,4846934.0,21641.27051725517
GUY,Americas,SIDS,345516.279,,,267.353039156,267.353039156,,,,,49531.51,434.4800280658473,49531.51171875,434.4800280658473,583893.0,633424.5625,434.480003930596
HTI,Caribbean,SIDS,130502.8419,,748.6292875703,150.0431056151,898.6723931854,,,163772.21875,1036.4587187495813,27797.934,243.83763375997128,191570.15625,1064.2669644742823,221002.0,412572.15625,1064.2669644742823
SD,Africa,,37610.64963,,,0.6236022255,0.6236022255,,,,,115.532486,1.0134266977357484,115.53248596191406,1.0134266977357484,,115.53248596191406,1.0134266977357484
US-HI,Oceania,,2491444.428,1.8657893071,592.8871412703,6.9320541083,601.6849846857001,313.45264,2.1579725937470013e-07,129701.6328125,820.8376386860523,1284.2761,11.265400673860524,131299.359375,820.8917266846262,,131299.359375,820.8917266846262
HMD,Oceania,Developed economies,417684.5825,,,,,,,,,,,,,,,
