ISO,country_name,Continent,Groups,E,S_BCE,S_ALL,NetCO2_BCE,NetCO2_ALL,Delta_NetCO2,cBCW,Total BCW,Coverage_BCE,Coverage_ALL,Delta_Coverage,Debt (2015 US$),Debt_to_GDP,Relief_BCE,Relief_ALL,Delta_Relief,Quadrant_BCE,Quadrant_ALL,switch_sink_status,switch_quadrant
DJI,Djibouti,Africa,LDCs,492543.0,4817.1500244140625,,-487725.84997558594,,,2682126.0,2682126.0,0.009731468248125373,0.009731468248125373,0.0,2588640346.2765,0.7293811527447543,0.0010412981846046009,,,Sink + high debt stress,Source + high debt stress,True,True
DMA,Dominica,Caribbean,SIDS,163060.0,412250.3802083333,719150.3802083333,249190.3802083333,556090.3802083333,306899.99999999994,230938224.0,402671136.0,2.5309975731026886,4.413126810806784,1.882129237704095,451592618.9205,0.8083182014646231,0.5108235192750546,0.8911063415402243,0.38028282226516963,Source + high debt stress,Source + high debt stress,False,False
DOM,Dominican Republic,Caribbean,SIDS,32019646.0,407541.8359375,2657199.5026041665,-31612104.1640625,-29362446.497395832,2249657.666666668,227860128.0,1486707584.0,0.012717307015050543,0.08297597720708752,0.07025867019203698,39453754599.5685,0.3931004564599865,0.005780168694484895,0.03768707903232021,0.03190691033783531,Sink + high debt stress,Sink + high debt stress,False,False
DJ,Doumeira Islands,Africa,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
TLS,East Timor,Asia,SIDS,632121.0,274351.9166666666,1967655.25,-357769.0833333334,1335534.25,1693303.3333333335,153669232.0,1101195904.0,0.43444024247331736,3.1132049618389703,2.678764719365653,232074948.6145,0.12537091050419977,0.6615099645841609,4.744357431709839,4.082847467125679,Sink + low debt stress,Source + low debt stress,True,True
CL-EI,Easter Island,Oceania,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
ECU,Ecuador,Americas,Developing economies,43172870.0,995904.0208333333,129133833.35416666,-42176965.979166664,85960963.35416666,128137929.33333331,554506368.0,72257019904.0,0.02295297390382313,2.9909728506932862,2.968019876789463,45725533038.4675,0.40767179603074055,0.012187520628037454,1.5802941095313032,1.5681065889032657,Sink + high debt stress,Source + high debt stress,True,True
EGY,Egypt,Africa,Developing economies,269006200.0,1957562.2916666665,5624228.958333333,-267048637.70833334,-263381971.04166666,3666666.6666666865,1096600832.0,3148368128.0,0.00728500118098044,0.02091541868412624,0.0136304175031458,126887036880.218,0.26946416952863567,0.008632865802400674,0.02480289595174478,0.016170030149344105,Sink + low debt stress,Sink + low debt stress,False,False
SLV,El Salvador,Americas,Developing economies,8230260.0,250954.65885416666,9787202.992187498,-7979305.341145833,1556942.9921874981,9536248.333333332,139728240.0,5475954176.0,0.03033988838505483,1.189021192147807,1.1586813037627524,17169835108.4495,0.6072515652058852,0.008178728526381537,0.31896947708074636,0.31079074855436484,Sink + high debt stress,Source + high debt stress,True,True
GNQ,Equatorial Guinea,Africa,Developing economies,6141370.0,172906.72265625,22172906.72265625,-5968463.27734375,16031536.72265625,22000000.0,96272192.0,12406876160.0,0.0280142462734486,3.6102770385701644,3.582262792296716,,,,,,Sink + low debt stress,Source + low debt stress,True,True
ERI,Eritrea,Africa,LDCs,620764.0,62971.87044270833,,-557792.1295572916,,,35106480.0,35106480.0,0.10106577454964916,0.10106577454964916,0.0,538148250.0205001,,0.06547889108235039,,,Sink + low debt stress,Source + low debt stress,True,True
EST,Estonia,Europe,Developed economies,10018740.0,2403.1770629882812,,-10016336.822937012,,,1344752.75,1344752.75,0.00023986820211314538,0.00023986820211314538,0.0,,,,,,Sink + low debt stress,Source + low debt stress,True,True
ETH,Ethiopia,Africa,LDCs,15227142.0,,,,,,,,,,,25134155490.766,0.22311065148244225,,,,Source + low debt stress,Source + low debt stress,False,False
ATF-4,Europa Island,Africa,Developing economies,,4567.012369791666,,,,,2542852.5,2542852.5,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
FRO,Faeroe,Europe,Developed economies,797616.0,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
FLK,Falkland Islands,Americas,Developing economies,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
SOM,Federal Republic of Somalia,Africa,LDCs,557614.0,23529.3115234375,44023529.31152344,-534084.6884765625,43465915.31152344,44000000.0,13100812.0,24634308608.0,0.04198632764436987,78.94962178741356,78.9076354597692,2282239463.9605,0.24709106172783896,0.005769054793255592,10.793947478560485,10.78817842376723,Sink + low debt stress,Source + low debt stress,True,True
FJI,Fiji,Oceania,SIDS,1146151.0,1723734.8333333333,12119237.166666666,577583.8333333333,10973086.166666666,10395502.333333332,964491520.0,6781533184.0,1.5038340745706729,10.573758782172547,9.069924707601874,2527499695.4290004,0.4736367284687187,0.3816242826274988,2.6831245156065795,2.301500232979081,Source + high debt stress,Source + high debt stress,False,False
FIN,Finland,Europe,Developed economies,31622000.0,82070.82096354166,,-31539929.179036457,,,45924596.0,45924596.0,0.002595370448023445,0.002595370448023445,0.0,,,,,,Sink + low debt stress,Source + low debt stress,True,True
FRA,France,Europe,Developed economies,272475840.0,1371223.90625,165342654.2395833,-271104616.09375,-107133185.76041669,163971430.3333333,767840832.0,92521807872.0,0.0050360095865761715,0.6068193979696441,0.601783388383068,,,,,,Sink + low debt stress,Sink + low debt stress,False,False
GUF,French Guiana,Americas,Developing economies,,431840.2057291666,,,,,240442960.0,240442960.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
PYF,French Polynesia,Oceania,SIDS,916154.0,630696.34375,,-285457.65625,,,353306432.0,353306432.0,0.6891700679691596,0.6891700679691596,0.0,,,,,,Sink + low debt stress,Source + low debt stress,True,True
GAB,Gabon,Africa,Developing economies,5410930.0,1184711.1145833333,15851377.78125,-4226218.885416667,10440447.78125,14666666.666666668,659631616.0,8866701312.0,0.21785768911449457,2.928420971715184,2.710563282600689,5729015342.809,0.35332114717159085,0.11571485952134869,1.548259259661187,1.4325444001398384,Sink + low debt stress,Source + low debt stress,True,True
EC-W,Galapagos,Americas,,,34110.842447916664,,,,,18992470.0,18992470.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
GMB,Gambia,Africa,LDCs,710899.0,414758.3229166666,414758.3229166666,-296140.6770833334,-296140.6770833334,0.0,230931984.0,230931984.0,0.5805231304413115,0.5805231304413115,0.0,1000411697.0015,0.5098472496137695,0.2319919971800839,0.2319919971800839,0.0,Sink + high debt stress,Sink + high debt stress,False,False
GEO,Georgia,Asia,Developing economies,11768941.0,,,,,,,,,,,18472995944.99,0.8071106782656505,,,,Source + high debt stress,Source + high debt stress,False,False
DEU,Germany,Europe,Developed economies,596151360.0,379389.5989583333,379829.5989583333,-595771970.4010416,-595771530.4010416,440.0,212452960.0,212699184.0,0.0006368682411029626,0.0006376063444732209,7.381033702582272e-07,,,,,,Sink + low debt stress,Sink + low debt stress,False,False
GHA,Ghana,Africa,Developing economies,19647176.0,2297703.145833333,13297703.145833332,-17349472.854166668,-6349472.854166668,11000000.0,1286737152.0,7442039296.0,0.11703965961241035,0.6769166062176636,0.5598769466052532,33025195621.8555,0.46838386412620536,0.038931861969152964,0.22531385062476944,0.18638198865561648,Sink + high debt stress,Sink + high debt stress,False,False
GIB,Gibraltar,Europe,Developed economies,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
FR-GLO,Glorioso Islands,Africa,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
LUX,Grand Duchy of Luxembourg,Europe,Developed economies,6993124.0,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
GRC,Greece,Europe,Developed economies,55196200.0,502479.828125,37583498.16145833,-54693720.171875,-17612701.83854167,37081018.33333333,281483808.0,21031016448.0,0.009113550053538188,0.6809173942809276,0.6718038442273894,,,,,,Sink + low debt stress,Sink + low debt stress,False,False
GRL,Greenland,Americas,Developed economies,596405.0,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
GRD,Grenada,Caribbean,SIDS,339363.0,9513.28125,518424.6145833333,-329849.71875,179061.6145833333,508911.3333333333,5324787.5,290097792.0,0.028040201841283488,1.5276479373854215,1.499607735544138,548992148.845,0.4763099565507647,0.009696630744603571,0.5284162135465097,0.5187195828019061,Sink + high debt stress,Source + high debt stress,True,True
GLP,Guadeloupe,Caribbean,SIDS,,631550.9635416666,,,,,353709056.0,353709056.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
GUM,Guam,Oceania,SIDS,,380027.6276041666,,,,,212886160.0,212886160.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
GTM,Guatemala,Americas,Developing economies,20382320.0,169279.31510416666,10646493.315104166,-20213040.684895832,-9735826.684895834,10477213.999999998,94252984.0,5957018112.0,0.008263895905820842,0.52229834534106,0.5140344494352391,19150458164.958,0.23669890755337986,0.0049463105467372,0.31108858242876153,0.3061422718820243,Sink + low debt stress,Sink + low debt stress,False,False
GGY,Guernsey,Europe,Developed economies,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
GIN,Guinea,Africa,LDCs,4042787.0,11757773.5,15424440.166666666,7714986.5,11381653.166666666,3666666.666666666,6581529600.0,8633296896.0,2.9093054695853073,3.816270594617801,0.9069651250324937,3898922758.4445,0.26423454052216533,1.6874740896639049,2.2137136022241966,0.5262395125602917,Source + low debt stress,Source + low debt stress,False,False
GNB,Guinea-Bissau,Africa,SIDS,298003.0,14105424.666666666,17772091.333333332,13807421.666666666,17474088.333333332,3666666.666666666,7895523840.0,9947291648.0,47.34822014155747,59.652350408428376,12.304130266870906,851667801.516,0.5265079363454327,9.267713342629085,11.676830146460157,2.409116803831072,Source + high debt stress,Source + high debt stress,False,False
GUY,Guyana,Americas,SIDS,3545070.0,181615.54296875,2322556.54296875,-3363454.45703125,-1222513.45703125,2140941.0,101121144.0,1299133696.0,0.05097538379212349,0.6548960596300205,0.603920675837897,2229193156.5615,0.11743240080893919,0.0455891995729194,0.5830089871493606,0.5374197875764412,Sink + low debt stress,Sink + low debt stress,False,False
HTI,Haiti,Caribbean,SIDS,3522026.0,702423.90625,1512764.5729166665,-2819602.09375,-2009261.4270833335,810340.6666666665,393143552.0,846588224.0,0.19948118736588094,0.42955918588610703,0.2300779985202261,1991395422.9335,0.14036396197909673,0.197377859187803,0.4250798274385223,0.22770196825071928,Sink + low debt stress,Sink + low debt stress,False,False
SD,Hala'ib Triangle,Africa,,,423.6191151936849,,,,,235865.546875,235865.546875,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
US-HI,Hawaii,Oceania,,,481430.984375,,,,,269675776.0,269675776.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
HMD,Heard and McDonald Islands,Oceania,Developed economies,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
