run,dmgfuncpar,climate,SSP,RCP,prtp,eta,dr,gscc,n_iso3,scenario_id,discount_id,log_gscc,draw,systematic_centered,log_gscc_adj,gscc_adj,fitted_log,residual
bhm_richpoor_sr,estimates,uncertain,SSP2,rcp85,,,5.0,105.38432167239036,169,ssp2_rcp85,fixed_dr5p0,4.657613874306439,8357,-1.0563465688053668,5.713960443111806,303.06898204469417,5.451545784012734,-0.7939319097062949
bhm_richpoor_sr,estimates,uncertain,SSP5,rcp45,1.0,0p7,,557.8783157915753,169,ssp5_rcp45,ramsey_prtp1p0_eta0p7,6.324140866542034,8358,0.2065769088047563,6.117563957737278,453.75797343684604,6.714469261622857,-0.3903283950808234
bhm_sr,estimates,uncertain,SSP2,rcp85,2.0,0p7,,615.5625588897634,169,ssp2_rcp85,ramsey_prtp2p0_eta0p7,6.422536579598128,8359,0.14113579580422891,6.281400783793899,534.5369102786171,6.64902814862233,-0.2264915690242022
bhm_lr,estimates,uncertain,SSP4,rcp45,2.0,1p5,,679.4503075158366,169,ssp4_rcp45,ramsey_prtp2p0_eta1p5,6.521284099961645,8360,-0.0973353824280504,6.618619482389695,748.9104990033258,6.410556970390051,0.11072712957159414
bhm_sr,bootstrap,expected,SSP3,rcp85,2.0,0p7,,645.7022609734954,169,ssp3_rcp85,ramsey_prtp2p0_eta0p7,6.470338501211385,8361,0.3019777959337318,6.168360705277653,477.4028602900021,6.809870148751833,-0.33953164754044796
bhm_sr,bootstrap,uncertain,SSP2,rcp60,2.0,1p5,,405.4654350712509,169,ssp2_rcp60,ramsey_prtp2p0_eta1p5,6.005035629654125,8362,-0.09718446090143351,6.102220090555559,446.8487142929269,6.410707891916667,-0.4056722622625424
bhm_lr,estimates,expected,SSP2,rcp85,,,5.0,305.08645272694645,169,ssp2_rcp85,fixed_dr5p0,5.7205951880063655,8363,-0.42041427947164356,6.141009467478009,464.52225436769214,6.087478073346458,-0.3668828853400923
bhm_sr,estimates,uncertain,SSP1,rcp60,1.0,0p7,,1012.3832884902105,169,ssp1_rcp60,ramsey_prtp1p0_eta0p7,6.920062521709572,8364,0.5910329623630949,6.329029559346477,560.6122888319002,7.098925315181196,-0.17886279347162404
bhm_sr,bootstrap,expected,SSP1,rcp60,,,5.0,233.18503641862745,169,ssp1_rcp60,fixed_dr5p0,5.451832286116681,8365,-0.5278405957175684,5.979672881834249,395.3110335824265,5.980051757100533,-0.5282194709838519
bhm_richpoor_lr,estimates,expected,SSP3,rcp45,2.0,0p7,,541.9320659993832,169,ssp3_rcp45,ramsey_prtp2p0_eta0p7,6.295140654099463,8366,0.1292782572707466,6.165862396828717,476.2116493163964,6.637170610088847,-0.3420299559893838
